,sequence_type,scan_count,snr_mean,snr_median,cnr_mean,quality_mean,confidence_mean
0,t2,3196,135.95245308775822,92.10549820775157,26.46165023740387,0.9015693134512869,0.7352524762315222
1,t1,6152,122.06501522746916,80.26289905989282,21.20085763339181,0.7782389469211759,0.715829043316447
2,pd,1256,138.5158550696401,115.44274111786069,30.17441371753245,0.9097408450418069,0.7717842280394159
3,flair,3,262.17934126400075,98.0162282200205,22.972979526666503,0.9406077036639471,0.6855070450016886
